Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
137,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,celebensis,"Peters, 1867",,,,,"","Sulawesi Fruit Bat, Sulawesi Flying Fox, Sulawesi Flying-fox, Sulawesi Acerodon",,Zorro Volador De Las Célebes,VU,A2d,3.1,2016,decreasing,N
138,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,humilis,"K. Andersen, 1909",,,,,"","Talaud Fruit Bat, Talaud Flying Fox, Talaud Flying-fox, Talaud Acerodon",,Zorro Volador De Talaud,EN,"B1ab(iii,v)",3.1,2016,decreasing,N
139,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,jubatus,"(Eschscholtz, 1831)",,,,,Acerodon lucifer  ,"Golden-capped Fruit Bat, Golden-crowned Flying Fox",,Zorro Volador Filipino,EN,A2cd,3.1,2016,decreasing,N
140,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,leucotis,"(Sanborn, 1950)",,,,,"","Palawan Fruit Bat, Palawan Flying Fox",,Zorro Volador De Calamian,VU,A4cd,3.1,2008,decreasing,N
142,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,mackloti,"(Temminck, 1837)",,,,,"","Sunda Fruit Bat, Sunda Flying-fox, Sunda Flying Fox",,Zorro Volador de Macklot,VU,A3cd,3.1,2016,decreasing,N
136541,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Aethalops,aequalis,"G.M. Allen, 1938",,,,,"",Borneo Fruit Bat,,,LC,,3.1,2016,unknown,N
565,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Aethalops,alecto,"(Thomas, 1923)",,,,,"",Pygmy Fruit Bat,,,LC,,3.1,2016,unknown,N
843,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Alionycteris,paucidentata,"Kock, 1969",,,,,"",Mindanao Pygmy Fruit Bat,,,LC,,3.1,2016,stable,N
1137,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Ametrida,centurio,"Gray, 1847",,,,,"",Little White-shouldered Bat,,,LC,,3.1,2016,unknown,N
1154,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,FURIPTERIDAE,Amorphochilus,schnablii,"Peters, 1877",,,,,"","Smoky Bat, Smokey Bat",,,VU,A2c,3.1,2015,stable,N
88108473,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,caudifer,"(É. Geoffroy Saint-Hilaire, 1818)",,,,,Anoura caudifera|Glossophaga caudifer,Tailed Tailless Bat,,,LC,,3.1,2016,unknown,N
1566,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,cultrata,"Handley, 1960",,,,,"",Handley's Tailless Bat,,,LC,,3.1,2016,decreasing,N
136239,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,fistulata,"Muchhala, Mena-Valenzuela & Albuja, 2005",,,,,"",Tube-lipped Tailless Bat,,,DD,,3.1,2008,unknown,N
88109511,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,geoffroyi,"Gray, 1838",,,,,"",Geoffroy's Tailless Bat,,,LC,,3.1,2016,stable,N
1568,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,latidens,"Handley, 1984",,,,,"",Broad-toothed Tailless Bat,,,LC,,3.1,2015,stable,N
1569,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,luismanueli,"Molinari, 1994",,,,,"",Luis Manuel's Tailless Bat,,,LC,,3.1,2008,stable,N
1620,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Anthops,ornatus,"Thomas, 1888",,,,,"","Solomons Leaf-nosed Bat, Flower-faced Bat",,,DD,,3.1,2008,unknown,N
1790,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Antrozous,pallidus,"(Le Conte, 1856)",,,,,"",Pallid Bat,,,LC,,3.1,2008,stable,N
1933,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Aproteles,bulmerae,"Menzies, 1977",,,,,"",Bulmer's Fruit Bat,,,CR,"B2ab(iv,v)c(ii); C2a(ii)",3.1,2016,decreasing,N
2089,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Ardops,nichollsi,"(Thomas, 1891)",,,,,"",Tree Bat,,,LC,,3.1,2008,unknown,N
